date,state,pm2_5,pm10,o3,no2,so2,co
5/21/2019,gujrat,77,74,34,35,41,14
5/22/2019,gujrat,84,90,32,42,45,13
5/23/2019,gujrat,111,97,35,42,53,12
5/24/2019,gujrat,124,101,37,41,55,13
5/25/2019,gujrat,133,111,38,47,52,15
5/26/2019,gujrat,143,104,39,51,57,13
5/27/2019,gujrat,137,101,37,47,51,15
5/28/2019,gujrat,123,93,34,33,39,13
5/29/2019,gujrat,107,100,40,42,56,13
5/30/2019,gujrat,122,91,30,39,54,16
5/31/2019,gujrat,124,94,31,32,57,17
6/1/2019,gujrat,121,82,32,32,53,15
6/2/2019,gujrat,111,90,45,34,53,15
6/3/2019,gujrat,122,81,70,35,54,13
6/4/2019,gujrat,110,79,81,28,46,14
6/5/2019,gujrat,106,86,60,32,44,12
6/6/2019,gujrat,100,85,63,55,16,15
6/7/2019,gujrat,89,90,66,70,29,13
6/8/2019,gujrat,122,83,78,67,53,13
6/9/2019,gujrat,97,80,78,60,50,12
6/10/2019,gujrat,98,76,87,60,45,11
6/11/2019,gujrat,97,102,54,66,39,15
6/12/2019,gujrat,115,60,59,56,29,12
6/13/2019,gujrat,79,74,49,52,30,12
6/14/2019,gujrat,82,71,32,53,24,14
6/15/2019,gujrat,95,76,25,47,15,14
6/16/2019,gujrat,95,75,15,54,20,13
6/17/2019,gujrat,84,58,15,61,13,13
6/18/2019,gujrat,81,126,3,68,19,8
6/19/2019,gujrat,135,85,38,64,16,12
6/20/2019,gujrat,113,74,65,62,12,11
6/21/2019,gujrat,102,99,53,69,13,7
6/22/2019,gujrat,144,74,75,65,20,10
6/23/2019,gujrat,122,80,71,91,19,14
6/24/2019,gujrat,128,71,59,77,10,14
6/25/2019,gujrat,123,91,35,88,14,15
6/26/2019,gujrat,157,77,39,79,18,16
6/27/2019,gujrat,144,74,24,76,22,15
6/28/2019,gujrat,126,79,13,84,19,16
6/29/2019,gujrat,140,81,34,50,15,15
6/30/2019,gujrat,132,75,41,70,20,14
1/1/2019,gujrat,183, ,39,49,24,4
1/2/2019,gujrat,210, ,34,35,28,4
